title,categoryName,city,totalScore,reviewsCount
RM Taktakan (Sop Ikan),Restoran Sup,Kota Serang,4.4,2390.0
Sari Kuring Indah Ciracas,Restoran Sunda,Kota Serang,4.4,1657.0
Duren Story Unyur,Restoran,Kota Serang,4.9,3074.0
Bebek Boedjang - Serang,Rumah Makan,Kota Serang,4.8,3925.0
Labbaik Chicken Ciracas,Restoran Masakan Ayam,Kota Serang,4.6,1315.0
Joffi Ramen Bintaro,Restoran Jepang,Kota Tangerang Selatan,4.8,1964.0
Saung Liwet Bancakan Serang,Restoran Sunda,Kota Serang,4.4,1969.0
My Kopi-O!,Kafe,Kota Serang,4.6,2458.0
Kayu Menjangan,Restoran,Kota Tangerang Selatan,4.3,3881.0
Richeese Factory Aria Putra,Restoran cepat saji,Kota Tangerang Selatan,4.3,3670.0
Saung Edi Serang,Restoran Sunda,Kota Serang,4.3,1720.0
Pondok makan Sate dan Sop Putri Asmawi,Restoran Sate,Kota Serang,4.3,619.0
McDonald's Menjangan,Restoran cepat saji,Kota Tangerang Selatan,4.4,6550.0
THE W BINTARO,Restoran,Kota Tangerang Selatan,4.7,539.0
Popeyes U-TOWN UPJ,Restoran Masakan Ayam,Kota Tangerang Selatan,4.8,1490.0
Dadar Beredar - Ciputat,Rumah Makan,Kota Tangerang Selatan,4.6,1071.0
Bakso Titoti,Restoran Bakso,Kota Tangerang Selatan,4.5,2560.0
Pool Rosalia Indah Transport Ciputat,Agen Tiket Bus,Kota Tangerang Selatan,4.5,3047.0
Bintaro Hill,Komplek perumahan,Kota Tangerang Selatan,4.4,739.0
Benteng Surosowan,Bangunan Bersejarah,Kota Serang,4.5,1916.0
WuffySpace Raya Bintaro - Playground Cafe,Arena Bermain Anak-Anak,Kota Tangerang Selatan,4.7,1609.0
Rumah Apung Pulau Burung,Restoran Indonesia,Kota Serang,4.5,717.0
Ramayana Ciputat,Toserba,Kota Tangerang Selatan,4.2,9482.0
Keraton Kaibon,Bangunan Bersejarah,Kota Serang,4.5,2367.0
Bebek Carok - Serang,Restoran,Kota Serang,4.9,3753.0
Warung Kondre,Kedai Kopi,Kota Tangerang Selatan,4.0,1585.0
RM Pecak Bandeng Sawah Luhur,Restoran Seafood,Kota Serang,4.3,1107.0
Buni Manten,Gedung Pernikahan,Kota Tangerang Selatan,4.5,896.0
Rumah Makan Bu Entin,Restoran Seafood,Kota Serang,4.3,7071.0
